Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.11% of 8.70 seconds

index % time    self  children    called     name
                0.00    0.00 2515346/16544603     AES_Proc.omp_fn.1 (hash.c:98 @ 400e90) [18]
                0.01    0.00 6511078/16544603     AES_Proc.omp_fn.1 (hash.c:106 @ 400ec0) [78]
                0.01    0.00 7518179/16544603     AES_Proc.omp_fn.1 (hash.c:114 @ 400e60) [38]
[45]     0.3    0.03    0.00 16544603         AES_Encrypt (aes_encryption.c:5 @ 401ff0) [45]
-----------------------------------------------
                0.01    0.00 4037165/11469786     AES_Proc.omp_fn.1 (hash.c:114 @ 400e60) [38]
                0.01    0.00 7432621/11469786     AES_Proc.omp_fn.1 (hash.c:98 @ 400e90) [18]
[55]     0.2    0.02    0.00 11469786         AES_128_Key_Expansion (aes_key_expansion.c:20 @ 4020f0) [55]
-----------------------------------------------
                0.00    0.00 4288611/4288611     AES_Proc.omp_fn.1 (hash.c:106 @ 400ec0) [78]
[179]    0.0    0.00    0.00 4288611         AES_192_Key_Expansion (aes_key_expansion.c:78 @ 402340) [179]
-----------------------------------------------
                0.00    0.00    2445/4170697     AES_Proc (hash.c:92 @ 40168a) [216]
                0.00    0.00    3942/4170697     STD_Post_Proc (hash.c:228 @ 4018ee) [476]
                0.00    0.00    4983/4170697     FIN_Post_Proc (hash.c:255 @ 401f13) [420]
                0.00    0.00    5903/4170697     STD_Pre_Proc (hash.c:179 @ 401d00) [501]
                0.00    0.00   20406/4170697     AES_Proc (hash.c:92 @ 401840) [222]
                0.00    0.00   21813/4170697     AES_Proc (hash.c:92 @ 401e6c) [237]
                0.00    0.00  443853/4170697     STD_Post_Proc (hash.c:228 @ 401c16) [83]
                0.00    0.00  775416/4170697     STD_Pre_Proc (hash.c:179 @ 401a0a) [107]
                0.00    0.00 2891936/4170697     AES_Proc (hash.c:92 @ 401b1c) [23]
[180]    0.0    0.00    0.00 4170697         main (prof.c:7 @ 400b80) [180]
-----------------------------------------------
                0.00    0.00  100000/100000      main (prof.c:11 @ 400bb0) [526]
[181]    0.0    0.00    0.00  100000         merkle_damgard (hash.c:383 @ 401530) [181]
-----------------------------------------------

 This table describes the call tree of the program, and was sorted by
 the total amount of time spent in each function and its children.

 Each entry in this table consists of several lines.  The line with the
 index number at the left hand margin lists the current function.
 The lines above it list the functions that called this function,
 and the lines below it list the functions this one called.
 This line lists:
     index	A unique number given to each element of the table.
		Index numbers are sorted numerically.
		The index number is printed next to every function name so
		it is easier to look up where the function in the table.

